component,date,unit,value
Servers and networking equipment,2025-12-31,millions_usd,22694
Servers and networking equipment,2024-12-31,millions_usd,6892
Satellites,2025-12-31,millions_usd,11949
Satellites,2024-12-31,millions_usd,7591
Machinery and equipment,2025-12-31,millions_usd,6343
Machinery and equipment,2024-12-31,millions_usd,5343
Data center infrastructure,2025-12-31,millions_usd,2960
Data center infrastructure,2024-12-31,millions_usd,224
Launch sites,2025-12-31,millions_usd,2404
Launch sites,2024-12-31,millions_usd,2121
Land buildings and improvements,2025-12-31,millions_usd,1876
Land buildings and improvements,2024-12-31,millions_usd,913
Flight vehicle hardware,2025-12-31,millions_usd,1689
Flight vehicle hardware,2024-12-31,millions_usd,1577
Leasehold improvements,2025-12-31,millions_usd,784
Leasehold improvements,2024-12-31,millions_usd,1019
Construction-in-progress,2025-12-31,millions_usd,4604
Construction-in-progress,2024-12-31,millions_usd,3007
Property plant and equipment gross,2025-12-31,millions_usd,55303
Property plant and equipment gross,2024-12-31,millions_usd,28687
Less: Accumulated depreciation,2025-12-31,millions_usd,-12701
Less: Accumulated depreciation,2024-12-31,millions_usd,-7540
Property plant and equipment net,2025-12-31,millions_usd,42602
Property plant and equipment net,2024-12-31,millions_usd,21147
