period,line_item,unit,value
FY2024,Beginning balance (Dec 31 2023),millions_usd,8
FY2024,Severance and other personnel costs,millions_usd,147
FY2024,Cash payments,millions_usd,-11
FY2024,Other adjustments,millions_usd,8
FY2024,Ending balance (Dec 31 2024),millions_usd,152
FY2025,Beginning balance (Dec 31 2024),millions_usd,152
FY2025,Severance and other personnel costs,millions_usd,487
FY2025,Cash payments,millions_usd,-212
FY2025,Other adjustments,millions_usd,16
FY2025,Ending balance (Dec 31 2025),millions_usd,443
