category,period,period_type,unit,value
Launch Services,Q1-2026,quarter,pct_of_space_revenue,53.3
Launch Services,Q1-2025,quarter,pct_of_space_revenue,65.4
Launch Services,FY2025,year,pct_of_space_revenue,63.0
Launch Services,FY2024,year,pct_of_space_revenue,68.2
Launch Services,FY2023,year,pct_of_space_revenue,55.2
Launch & Development,Q1-2026,quarter,pct_of_space_revenue,46.7
Launch & Development,Q1-2025,quarter,pct_of_space_revenue,34.6
Launch & Development,FY2025,year,pct_of_space_revenue,37.0
Launch & Development,FY2024,year,pct_of_space_revenue,31.8
Launch & Development,FY2023,year,pct_of_space_revenue,44.8
